city,zip
"Maribor, SI","2509, SI"
"Maribor, SI","2600, SI"
"Maribor, SI","2603, SI"
"Maribor, SI","2609, SI"
"Maribor, SI","2610, SI"
"Celje - dostava, SI","3000, SI"
"Celje - poštni predali, SI","3001, SI"
"Šmartno v Rožni dolini, SI","3201, SI"
"Ljubečna, SI","3202, SI"
"Nova Cerkev, SI","3203, SI"
"Dobrna, SI","3204, SI"
"Vitanje, SI","3205, SI"
"Stranice, SI","3206, SI"
"Slovenske Konjice, SI","3210, SI"
"Škofja vas, SI","3211, SI"
"Vojnik, SI","3212, SI"
"Frankolovo, SI","3213, SI"
"Zreče, SI","3214, SI"
"Loče, SI","3215, SI"
"Štore, SI","3220, SI"
"Teharje, SI","3221, SI"
"Dramlje, SI","3222, SI"
"Loka pri Žusmu, SI","3223, SI"
"Dobje pri Planini, SI","3224, SI"
"Planina pri Sevnici, SI","3225, SI"
"Šentjur, SI","3230, SI"
"Grobelno, SI","3231, SI"
"Ponikva, SI","3232, SI"
"Kalobje, SI","3233, SI"
"Šmarje pri Jelšah, SI","3240, SI"
"Podplat, SI","3241, SI"
"Rogaška Slatina, SI","3250, SI"
"Rogatec, SI","3252, SI"
"Pristava pri Mestinju, SI","3253, SI"
"Podčetrtek, SI","3254, SI"
"Buče, SI","3255, SI"
"Bistrica ob Sotli, SI","3256, SI"
"Podsreda, SI","3257, SI"
"Kozje, SI","3260, SI"
"Lesično, SI","3261, SI"
"Prevorje, SI","3262, SI"
"Gorica pri Slivnici, SI","3263, SI"
"Sveti Štefan, SI","3264, SI"
"Laško, SI","3270, SI"
"Šentrupert, SI","3271, SI"
"Rimske Toplice, SI","3272, SI"
"Jurklošter, SI","3273, SI"
"Petrovče, SI","3301, SI"
"Griže, SI","3302, SI"
"Gomilsko, SI","3303, SI"
"Tabor, SI","3304, SI"
"Vransko, SI","3305, SI"
"Žalec, SI","3310, SI"
"Šempeter v Savinjski dolini, SI","3311, SI"
"Prebold, SI","3312, SI"
"Polzela, SI","3313, SI"
"Braslovče, SI","3314, SI"
"Velenje - dostava, SI","3320, SI"
"Velenje - poštni predali, SI","3322, SI"
"Šoštanj, SI","3325, SI"
"Topolšica, SI","3326, SI"
"Šmartno ob Paki, SI","3327, SI"
"Mozirje, SI","3330, SI"
"Nazarje, SI","3331, SI"
"Rečica ob Savinji, SI","3332, SI"
"Ljubno ob Savinji, SI","3333, SI"
"Luče, SI","3334, SI"
"Solčava, SI","3335, SI"
"Šmartno ob Dreti, SI","3341, SI"
"Gornji Grad, SI","3342, SI"
"Celje, SI","3502, SI"
"Velenje, SI","3503, SI"
"Velenje, SI","3504, SI"
"Celje, SI","3505, SI"
"Celje, SI","3600, SI"
"Kranj - dostava, SI","4000, SI"
"Kranj - poštni predali, SI","4001, SI"
"Zgornja Besnica, SI","4201, SI"
"Naklo, SI","4202, SI"
"Duplje, SI","4203, SI"
"Golnik, SI","4204, SI"
"Preddvor, SI","4205, SI"
"Zgornje Jezersko, SI","4206, SI"
"Cerklje na Gorenjskem, SI","4207, SI"
"Šenčur, SI","4208, SI"
"Žabnica, SI","4209, SI"
"Brnik aerodrom, SI","4210, SI"
"Mavčiče, SI","4211, SI"
"Visoko, SI","4212, SI"
"Škofja Loka, SI","4220, SI"
"Poljane nad Škofjo Loko, SI","4223, SI"
"Gorenja vas, SI","4224, SI"
"Sovodenj, SI","4225, SI"
"Žiri, SI","4226, SI"
"Selca, SI","4227, SI"
"Železniki, SI","4228, SI"
"Sorica, SI","4229, SI"
"Radovljica, SI","4240, SI"
"Brezje, SI","4243, SI"
"Podnart, SI","4244, SI"
"Kropa, SI","4245, SI"
"Kamna Gorica, SI","4246, SI"
"Zgornje Gorje, SI","4247, SI"
"Lesce, SI","4248, SI"
"Bled, SI","4260, SI"
"Bohinjska Bela, SI","4263, SI"
"Bohinjska Bistrica, SI","4264, SI"
"Bohinjsko jezero, SI","4265, SI"
"Srednja vas v Bohinju, SI","4267, SI"
"Jesenice, SI","4270, SI"
"Blejska Dobrava, SI","4273, SI"
"Žirovnica, SI","4274, SI"
"Begunje na Gorenjskem, SI","4275, SI"
"Hrušica, SI","4276, SI"
"Kranjska Gora, SI","4280, SI"
"Mojstrana, SI","4281, SI"
"Gozd Martuljek, SI","4282, SI"
"Rateče-Planica, SI","4283, SI"
"Tržič, SI","4290, SI"
"Križe, SI","4294, SI"
"Naklo, SI","4501, SI"
"Kranj, SI","4502, SI"
"Kranj, SI","4600, SI"
"Nova Gorica - dostava, SI","5000, SI"
"Nova Gorica - poštni predali, SI","5001, SI"
"Deskle, SI","5210, SI"
"Kojsko, SI","5211, SI"
"Dobrovo v Brdih, SI","5212, SI"
"Kanal, SI","5213, SI"
"Kal nad Kanalom, SI","5214, SI"
"Ročinj, SI","5215, SI"
"Most na Soči, SI","5216, SI"
"Tolmin, SI","5220, SI"
"Kobarid, SI","5222, SI"
"Breginj, SI","5223, SI"
"Srpenica, SI","5224, SI"
"Bovec, SI","5230, SI"
"Log pod Mangartom, SI","5231, SI"
"Soča, SI","5232, SI"
