city,zip
"Makati CPO-PO Box# 4100 to 4199, PH","1281, PH"
"Makati CPO-PO Box# 4200 to 4299, PH","1282, PH"
"Makati CPO-PO Box# 4300 to 4399, PH","1283, PH"
"Makati CPO-PO Box# 4400 to 4499, PH","1284, PH"
"Makati CPO-PO Box# 4500 to 4599, PH","1285, PH"
"Makati CPO-PO Box# 4600 to 4699, PH","1286, PH"
"Makati CPO-PO Box# 4700 to 4799, PH","1287, PH"
"Makati CPO-PO Box# 4800 to 4899, PH","1288, PH"
"Makati CPO-PO Box# 4900 to 4999, PH","1289, PH"
"Makati CPO-PO Box# 5000 to 5099, PH","1290, PH"
"Makati CPO-PO Box# 5100 to 5199, PH","1291, PH"
"Makati CPO-PO Box# 5200 to 5299, PH","1292, PH"
"Makati CPO-PO Box# 5300 to 5399, PH","1293, PH"
"Makati CPO-PO Box# 5400 to 5499, PH","1294, PH"
"Makati CPO-PO Box# 5500 to 5599, PH","1295, PH"
"Makati CPO-PO Box# 5600 to 5699, PH","1296, PH"
"Makati CPO-PO Box# 5700 to 5799, PH","1297, PH"
"Makati CPO-PO Box# 5800 to 5899, PH","1298, PH"
"Makati CPO-PO Box# 5900 to 5999, PH","1299, PH"
"Pasay City Central Post Office, PH","1300, PH"
"Domestic Airport P.O., PH","1301, PH"
"San Rafael, PH","1302, PH"
"San Roque, PH","1303, PH"
"Santa Clara, PH","1304, PH"
"San Jose, PH","1305, PH"
"San Isidro, PH","1306, PH"
"Philippine International Convention Center, PH","1307, PH"
"Bay City, PH","1308, PH"
"Villamor Airbase, PH","1309, PH"
"Pasay City CPO - P.O. Box Nos. 1000 to 1099, PH","1350, PH"
"Pasay City CPO - P.O. Box Nos. 1100 to 1199, PH","1351, PH"
"Pasay City CPO - P.O. Box Nos. 1200 to 1299, PH","1352, PH"
"Pasay City CPO - P.O. Box Nos. 1300 to 1399, PH","1353, PH"
"Pasay City CPO - P.O. Box Nos. 1400 to 1499, PH","1354, PH"
"Domestic Airport P.O. - P.O. Box Nos. 1000 to 1099, PH","1375, PH"
"Domestic Airport P.O. - P.O. Box Nos. 1100 to 1199, PH","1376, PH"
"Domestic Airport P.O. - P.O. Box Nos. 1200 to 1299, PH","1377, PH"
"Domestic Airport P.O. - P.O. Box Nos. 1300 to 1399, PH","1378, PH"
"Domestic Airport P.O. - P.O. Box Nos. 1400 to 1499, PH","1379, PH"
"Domestic Airport P.O. - P.O. Box Nos. 1500 to 1599, PH","1380, PH"
"Domestic Airport P.O. - P.O. Box Nos. 1600 to 1699, PH","1381, PH"
"Caloocan City Central Post Office, PH","1400, PH"
"Baesa, PH","1401, PH"
"Santa Quiteria, PH","1402, PH"
"Grace Park East, PH","1403, PH"
"San Jose, PH","1404, PH"
"First Avenue to Seventh Avenue West, PH","1405, PH"
"Grace Park West, PH","1406, PH"
"University Hills, PH","1407, PH"
"Sangandaan, PH","1408, PH"
"Kaunlaran Village, PH","1409, PH"
"Kaunlaran Village (shared with Malabon City and Navotas), PH","1409, PH"
"Kaunlaran Village (shared with Caloocan City and Navotas), PH","1409, PH"
"Maypajo, PH","1410, PH"
"Fish Market (shared with Navotas), PH","1411, PH"
"Fish Market, PH","1411, PH"
"Isla de Cocomo, PH","1412, PH"
"Kapitbahayan [East], PH","1413, PH"
"Kapitbayahan, PH","1413, PH"
"Kaybiga/Deparo, PH","1420, PH"
"Bagumbong/Pag-asa, PH","1421, PH"
"Novaliches North, PH","1422, PH"
"Lilles Ville Subdivision, PH","1423, PH"
"Captol Parkland Subdivision, PH","1424, PH"
"Amparo Subdivision, PH","1425, PH"
"Bankers Village, PH","1426, PH"
"Tala Leprosarium and Victory Heights, PH","1427, PH"
"Cefels Park Subdivision, PH","1427, PH"
"Bagong Silang, PH","1428, PH"
"Valenzuela Central Post Office - Malinta, PH","1440, PH"
"Karuhatan, PH","1441, PH"
"General T. de Leon, PH","1442, PH"
"Fortune Village, PH","1442, PH"
