city,zip
"Sečanica, RS","18203, RS"
"Gornji Matejevac, RS","18204, RS"
"Niška Banja, RS","18205, RS"
"Jelašnica, RS","18206, RS"
"Malča, RS","18207, RS"
"Guševac, RS","18208, RS"
"Medoševac, RS","18209, RS"
"Žitkovac, RS","18210, RS"
"Trupale, RS","18211, RS"
"Tešica, RS","18212, RS"
"Trnjane, RS","18213, RS"
"Kulina, RS","18214, RS"
"Veliko Bonjince, RS","18215, RS"
"Korman, RS","18216, RS"
"Ljuberađa, RS","18217, RS"
"Grejač, RS","18219, RS"
"Aleksinac, RS","18220, RS"
"Vrćenovica, RS","18221, RS"
"Veliki Drenovac, RS","18222, RS"
"Draževac, RS","18223, RS"
"Rutevac, RS","18224, RS"
"Katun Božički, RS","18225, RS"
"Aleksinački Rudnik, RS","18226, RS"
"Subotinac, RS","18227, RS"
"Lužane, RS","18228, RS"
"Mozgovo, RS","18229, RS"
"Soko Banja, RS","18230, RS"
"Čitluk, RS","18232, RS"
"Jošanica, RS","18234, RS"
"Šarbanovac, RS","18235, RS"
"Vrmdža, RS","18236, RS"
"Dugo Polje, RS","18237, RS"
"Gadžin Han, RS","18240, RS"
"Gornji Barbeš, RS","18241, RS"
"Donji Dušnik, RS","18242, RS"
"Zaplanjska Toponica, RS","18244, RS"
"Lički Hanovi, RS","18245, RS"
"Ravna Dubrava, RS","18246, RS"
"Novo Selo, RS","18250, RS"
"Mramor, RS","18251, RS"
"Merošina, RS","18252, RS"
"Jugbogdanovac, RS","18253, RS"
"Donje Međurovo, RS","18254, RS"
"Pukovac, RS","18255, RS"
"Balajinac, RS","18257, RS"
"Jovanovac, RS","18258, RS"
"Popovac, RS","18260, RS"
"Ćurlina, RS","18262, RS"
"Pirot, RS","18300, RS"
"Crnoklište, RS","18304, RS"
"Visoka Ržana, RS","18306, RS"
"Krupac, RS","18307, RS"
"Gnjilan, RS","18309, RS"
"Bela Palanka, RS","18310, RS"
"Sićevo, RS","18311, RS"
"Ostrovica, RS","18312, RS"
"Crvena Reka, RS","18313, RS"
"Dolac, RS","18314, RS"
"Babin Kal, RS","18315, RS"
"Dimitrovgrad, RS","18320, RS"
"Gradina, RS","18321, RS"
"Sukovo, RS","18322, RS"
"Smilovci, RS","18323, RS"
"Kamenica, RS","18324, RS"
"Poganovo, RS","18326, RS"
"Babušnica, RS","18330, RS"
"Strelac, RS","18332, RS"
"Zvonce, RS","18333, RS"
"Temska, RS","18355, RS"
"Svrljig, RS","18360, RS"
"Prekonoga, RS","18365, RS"
"Niševac, RS","18366, RS"
"Burdimo, RS","18368, RS"
"Prokuplje, RS","18400, RS"
"Velika Plana, RS","18403, RS"
"Donja Rečica, RS","18404, RS"
"Džigolj, RS","18405, RS"
"Dubovo, RS","18406, RS"
"Žitni Potok, RS","18407, RS"
"Dobri Do, RS","18408, RS"
"Kruševica, RS","18409, RS"
"Doljevac, RS","18410, RS"
"Belotinac, RS","18411, RS"
"Žitorađa, RS","18412, RS"
"Pejkovac, RS","18413, RS"
"Donje Crnatovo, RS","18414, RS"
"Malošište, RS","18415, RS"
"Čečina, RS","18417, RS"
"Blace, RS","18420, RS"
"Donja Trnava, RS","18421, RS"
"Mala Plana, RS","18423, RS"
"Beloljin, RS","18424, RS"
"Gornja Draguša, RS","18425, RS"
"Barbatovac, RS","18426, RS"
"Kuršumlija, RS","18430, RS"
"Barlovo, RS","18432, RS"
"Prolom Banja, RS","18433, RS"
"Kuršumlijska Banja, RS","18435, RS"
"Merćez, RS","18436, RS"
"Lukovska Banja, RS","18437, RS"
"Žuč, RS","18438, RS"
"Rača, RS","18440, RS"
"Merdare, RS","18445, RS"
"Zaječar, RS","19000, RS"
"Metovnica, RS","19204, RS"
"Gradskovo, RS","19205, RS"
