state,city,zip
"Balochistan, PK","Kharan, PK","94100, PK"
"Balochistan, PK","Washuk, PK","94110, PK"
"Balochistan, PK","Ladgasht, PK","94150, PK"
"Balochistan, PK","Koh Taftan, PK","95000, PK"
"Balochistan, PK","Yak Mach, PK","95040, PK"
"Balochistan, PK","Nokundi, PK","95050, PK"
"Balochistan, PK","Amori, PK","95060, PK"
"Balochistan, PK","Dalbandin, PK","95100, PK"
"Balochistan, PK","Padag, PK","95110, PK"
"Balochistan, PK","Chaghi, PK","95120, PK"
"Balochistan, PK","Brapcha, PK","95130, PK"
"Balochistan, PK","Ahmedwal, PK","95150, PK"
"Balochistan, PK","Nushki Gpo, PK","95200, PK"
"Balochistan, PK","Sar Mall, PK","95210, PK"
"Balochistan, PK","Ziarat, PK","96000, PK"
"Balochistan, PK","Ahmadoon, PK","96100, PK"
"Khyber Pakhtunkhwa, PK","Mera Gram, PK","17000, PK"
"Khyber Pakhtunkhwa, PK","Brep, PK","17010, PK"
"Khyber Pakhtunkhwa, PK","Mastaj, PK","17020, PK"
"Khyber Pakhtunkhwa, PK","Harichin, PK","17030, PK"
"Khyber Pakhtunkhwa, PK","Booni, PK","17050, PK"
"Khyber Pakhtunkhwa, PK","Booni Main Bazar, PK","17054, PK"
"Khyber Pakhtunkhwa, PK","Darason, PK","17060, PK"
"Khyber Pakhtunkhwa, PK","Gohkeer, PK","17070, PK"
"Khyber Pakhtunkhwa, PK","Shah Gram, PK","17080, PK"
"Khyber Pakhtunkhwa, PK","Shot Khara, PK","17090, PK"
"Khyber Pakhtunkhwa, PK","Kosht, PK","17100, PK"
"Khyber Pakhtunkhwa, PK","Reshun, PK","17110, PK"
"Khyber Pakhtunkhwa, PK","Kaghuzai, PK","17120, PK"
"Khyber Pakhtunkhwa, PK","Garam Chashma, PK","17130, PK"
"Khyber Pakhtunkhwa, PK","Para Beg, PK","17140, PK"
"Khyber Pakhtunkhwa, PK","Chitral Gpo, PK","17200, PK"
"Khyber Pakhtunkhwa, PK","Ayun, PK","17210, PK"
"Khyber Pakhtunkhwa, PK","Drosh, PK","17220, PK"
"Khyber Pakhtunkhwa, PK","Broz, PK","17230, PK"
"Khyber Pakhtunkhwa, PK","Sair Door, PK","17234, PK"
"Khyber Pakhtunkhwa, PK","Nagar, PK","17240, PK"
"Khyber Pakhtunkhwa, PK","Aranda, PK","17250, PK"
"Khyber Pakhtunkhwa, PK","Ashrit, PK","17260, PK"
"Khyber Pakhtunkhwa, PK","Daggar, PK","17290, PK"
"Khyber Pakhtunkhwa, PK","Dir, PK","18000, PK"
"Khyber Pakhtunkhwa, PK","Sharingal, PK","18050, PK"
"Khyber Pakhtunkhwa, PK","Barawal Bandi, PK","18100, PK"
"Khyber Pakhtunkhwa, PK","Darora, PK","18150, PK"
"Khyber Pakhtunkhwa, PK","Wari, PK","18200, PK"
"Khyber Pakhtunkhwa, PK","Shahibabad, PK","18210, PK"
"Khyber Pakhtunkhwa, PK","Khall, PK","18250, PK"
"Khyber Pakhtunkhwa, PK","Timargara, PK","18300, PK"
"Khyber Pakhtunkhwa, PK","Lal Qilla, PK","18350, PK"
"Khyber Pakhtunkhwa, PK","Dara Manial, PK","18400, PK"
"Khyber Pakhtunkhwa, PK","Zaimdara, PK","18450, PK"
"Khyber Pakhtunkhwa, PK","Munda, PK","18500, PK"
"Khyber Pakhtunkhwa, PK","Mayar Jandol, PK","18550, PK"
"Khyber Pakhtunkhwa, PK","Samar Bagh, PK","18600, PK"
